genEra,marketId,year,period,nRuns,mean_hhi_x10000,mean_gap12,mean_gap15,mean_chr_lane_share,mean_spoken_word_share,mean_public_share,mean_country_share,mean_gospel_share,mean_spanish_share,mean_spanish_language_share,mean_spanish_share_legacy,mean_nBook,top5_mean_formats,num1_format_key_histogram,num1_format_raw_histogram,actual_top40_win_rate,expected_top40_weight,mismatch_top40,expected_top_buckets,actual_top_buckets,chr_bucket_total_share,expected_chr_bucket_strength,chr_lineage_station_count,chr_avg_share_per_station,chr_leader_share,expected_chr_leader_share_cap,mismatch_chr_bucket,mismatch_chr_concentration
1985,nashville,2020,1,8,751.39,2.73,6.30,9.62,12.34,3.91,13.09,0.00,0.35,0.35,0.35,22.75,ADULT_CONTEMP:0.1697|ALBUM_ROCK:0.1470|RELIGIOUS_NETWORK:0.1320|COUNTRY:0.1309|TOP40:0.0962,ADULT_CONTEMP:5|COUNTRY:3,ADULT_CONTEMP:5|COUNTRY:3,0.00,8.81,,TOP40_CHR:0.0881|AC_HOT_AC:0.0798|ROCK_ALT_AAA:0.0516|COUNTRY:0.2201|NEWS_TALK_SPORTS:0.1388|PUBLIC_RADIO:0.0448|URBAN_RHYTHMIC:0.0847|SPANISH:0.0267|GOSPEL_CCM:0.2653,TOP40_CHR:0.0925|AC_HOT_AC:0.1633|ROCK_ALT_AAA:0.2079|COUNTRY:0.1260|NEWS_TALK_SPORTS:0.1475|PUBLIC_RADIO:0.0376|URBAN_RHYTHMIC:0.0768|SPANISH:0.0053|GOSPEL_CCM:0.1270|OTHER:0.0160,9.62,7.45,1.88,5.97,8.27,3.47,,CONCENTRATION_SEVERE
1985,nashville,2026,1,8,744.79,1.68,5.32,8.07,10.76,3.93,12.70,0.09,0.53,0.53,0.53,22.50,ADULT_CONTEMP:0.1611|ALBUM_ROCK:0.1545|RELIGIOUS_NETWORK:0.1464|COUNTRY:0.1270|URBAN_CONTEMP:0.0864,COUNTRY:6|ADULT_CONTEMP:2,COUNTRY:6|ADULT_CONTEMP:2,0.00,7.42,,TOP40_CHR:0.0742|AC_HOT_AC:0.0814|ROCK_ALT_AAA:0.0524|COUNTRY:0.2233|NEWS_TALK_SPORTS:0.1409|PUBLIC_RADIO:0.0455|URBAN_RHYTHMIC:0.0860|SPANISH:0.0271|GOSPEL_CCM:0.2692,TOP40_CHR:0.0780|AC_HOT_AC:0.1558|ROCK_ALT_AAA:0.2224|COUNTRY:0.1229|NEWS_TALK_SPORTS:0.1245|PUBLIC_RADIO:0.0380|URBAN_RHYTHMIC:0.0836|SPANISH:0.0069|GOSPEL_CCM:0.1489|OTHER:0.0189,8.07,6.42,1.13,7.50,7.97,2.89,,CONCENTRATION_SEVERE
1985,atlanta,1995,1,8,711.27,1.40,4.97,19.96,11.05,4.41,12.21,0.63,0.65,0.65,0.65,30.75,TOP40:0.1996|ADULT_CONTEMP:0.1809|COUNTRY:0.1221|CLASSIC_ROCK:0.1126|ALBUM_ROCK:0.1066,ADULT_CONTEMP:3|CLASSIC_ROCK:2|TOP40:2|NEWS_TALK:1,ADULT_CONTEMP:3|CLASSIC_ROCK:2|TOP40:2|NEWS_TALK:1,25.00,6.82,,TOP40_CHR:0.0682|AC_HOT_AC:0.0611|ROCK_ALT_AAA:0.0975|COUNTRY:0.0781|NEWS_TALK_SPORTS:0.1881|PUBLIC_RADIO:0.0734|URBAN_RHYTHMIC:0.1235|SPANISH:0.0253|GOSPEL_CCM:0.2847,TOP40_CHR:0.1919|AC_HOT_AC:0.1739|ROCK_ALT_AAA:0.2543|COUNTRY:0.1174|NEWS_TALK_SPORTS:0.1136|PUBLIC_RADIO:0.0424|URBAN_RHYTHMIC:0.0573|SPANISH:0.0100|GOSPEL_CCM:0.0069|OTHER:0.0323,19.96,12.15,2.88,7.54,10.43,7.77,,CONCENTRATION_MODERATE
1985,atlanta,2000,1,8,675.19,1.02,3.37,19.16,9.41,4.63,15.60,0.14,1.15,1.15,1.15,28.50,TOP40:0.1916|ADULT_CONTEMP:0.1885|COUNTRY:0.1560|CLASSIC_ROCK:0.1126|ALBUM_ROCK:0.0957,CLASSIC_ROCK:3|TOP40:2|NEWS_TALK:1|ADULT_CONTEMP:1|COUNTRY:1,CLASSIC_ROCK:3|TOP40:2|NEWS_TALK:1|ADULT_CONTEMP:1|COUNTRY:1,25.00,8.28,,TOP40_CHR:0.0828|AC_HOT_AC:0.0640|ROCK_ALT_AAA:0.0955|COUNTRY:0.0765|NEWS_TALK_SPORTS:0.1841|PUBLIC_RADIO:0.0719|URBAN_RHYTHMIC:0.1208|SPANISH:0.0259|GOSPEL_CCM:0.2786,TOP40_CHR:0.1822|AC_HOT_AC:0.1792|ROCK_ALT_AAA:0.2507|COUNTRY:0.1483|NEWS_TALK_SPORTS:0.1021|PUBLIC_RADIO:0.0441|URBAN_RHYTHMIC:0.0631|SPANISH:0.0125|GOSPEL_CCM:0.0055|OTHER:0.0123,19.16,10.63,2.88,6.78,9.70,6.51,BUCKET_SEVERE,CONCENTRATION_MODERATE
1985,atlanta,2006,1,8,588.86,0.93,3.11,17.81,12.54,4.92,12.06,0.78,0.51,0.51,0.51,30.13,ADULT_CONTEMP:0.1853|TOP40:0.1520|COUNTRY:0.1206|CLASSIC_ROCK:0.1140|ALBUM_ROCK:0.0976,NEWS_TALK:4|ADULT_CONTEMP:3|COUNTRY:1,NEWS_TALK:4|ADULT_CONTEMP:3|COUNTRY:1,0.00,9.65,,TOP40_CHR:0.0965|AC_HOT_AC:0.0836|ROCK_ALT_AAA:0.0916|COUNTRY:0.0734|NEWS_TALK_SPORTS:0.1767|PUBLIC_RADIO:0.0690|URBAN_RHYTHMIC:0.1160|SPANISH:0.0258|GOSPEL_CCM:0.2674,TOP40_CHR:0.1646|AC_HOT_AC:0.1806|ROCK_ALT_AAA:0.2545|COUNTRY:0.1070|NEWS_TALK_SPORTS:0.1269|PUBLIC_RADIO:0.0437|URBAN_RHYTHMIC:0.0912|SPANISH:0.0060|GOSPEL_CCM:0.0139|OTHER:0.0117,17.81,9.07,3.25,5.80,7.76,5.14,BUCKET_SEVERE,CONCENTRATION_MODERATE
1985,atlanta,2010,1,8,521.19,1.74,3.13,15.16,12.64,4.35,12.05,1.21,1.35,1.35,1.35,30.63,ADULT_CONTEMP:0.1545|TOP40:0.1374|COUNTRY:0.1205|CLASSIC_ROCK:0.1031|NEWS_TALK:0.0995,NEWS_TALK:5|CLASSIC_ROCK:3,NEWS_TALK:5|CLASSIC_ROCK:3,0.00,9.35,,TOP40_CHR:0.0935|AC_HOT_AC:0.0845|ROCK_ALT_AAA:0.0918|COUNTRY:0.0735|NEWS_TALK_SPORTS:0.1770|PUBLIC_RADIO:0.0691|URBAN_RHYTHMIC:0.1162|SPANISH:0.0264|GOSPEL_CCM:0.2679,TOP40_CHR:0.1530|AC_HOT_AC:0.1610|ROCK_ALT_AAA:0.2211|COUNTRY:0.1036|NEWS_TALK_SPORTS:0.1348|PUBLIC_RADIO:0.0374|URBAN_RHYTHMIC:0.1057|SPANISH:0.0185|GOSPEL_CCM:0.0507|OTHER:0.0142,15.16,8.14,2.88,5.52,7.09,4.34,BUCKET_MODERATE,CONCENTRATION_MODERATE
1985,atlanta,2020,1,8,511.58,1.26,2.33,14.52,11.91,4.42,9.89,0.31,1.25,1.25,1.25,29.25,ADULT_CONTEMP:0.1725|TOP40:0.1261|RELIGIOUS_NETWORK:0.1141|CLASSIC_ROCK:0.1106|COUNTRY:0.0989,CLASSIC_ROCK:5|ADULT_CONTEMP:2|NEWS_TALK:1,CLASSIC_ROCK:5|ADULT_CONTEMP:2|NEWS_TALK:1,0.00,6.58,,TOP40_CHR:0.0658|AC_HOT_AC:0.0903|ROCK_ALT_AAA:0.0941|COUNTRY:0.0753|NEWS_TALK_SPORTS:0.1814|PUBLIC_RADIO:0.0708|URBAN_RHYTHMIC:0.1191|SPANISH:0.0287|GOSPEL_CCM:0.2745,TOP40_CHR:0.1593|AC_HOT_AC:0.1553|ROCK_ALT_AAA:0.2255|COUNTRY:0.0890|NEWS_TALK_SPORTS:0.1227|PUBLIC_RADIO:0.0397|URBAN_RHYTHMIC:0.0685|SPANISH:0.0150|GOSPEL_CCM:0.1084|OTHER:0.0165,14.52,6.00,2.88,5.10,5.98,2.79,BUCKET_SEVERE,CONCENTRATION_MODERATE
1985,atlanta,2026,1,8,503.01,1.14,2.97,12.61,9.75,4.48,14.41,0.72,1.23,1.23,1.23,29.50,ADULT_CONTEMP:0.1630|COUNTRY:0.1441|RELIGIOUS_NETWORK:0.1305|TOP40:0.1137|CLASSIC_ROCK:0.1129,CLASSIC_ROCK:3|RELIGIOUS_NETWORK:3|ADULT_CONTEMP:2,CLASSIC_ROCK:3|RELIGIOUS_NETWORK:3|ADULT_CONTEMP:2,0.00,5.29,,TOP40_CHR:0.0529|AC_HOT_AC:0.0924|ROCK_ALT_AAA:0.0953|COUNTRY:0.0763|NEWS_TALK_SPORTS:0.1837|PUBLIC_RADIO:0.0717|URBAN_RHYTHMIC:0.1206|SPANISH:0.0291|GOSPEL_CCM:0.2780,TOP40_CHR:0.1419|AC_HOT_AC:0.1416|ROCK_ALT_AAA:0.2061|COUNTRY:0.1252|NEWS_TALK_SPORTS:0.1021|PUBLIC_RADIO:0.0389|URBAN_RHYTHMIC:0.0844|SPANISH:0.0171|GOSPEL_CCM:0.1259|OTHER:0.0168,12.61,6.00,2.88,4.57,5.55,2.70,BUCKET_MODERATE,CONCENTRATION_MODERATE
1985,newyork,1995,1,8,478.81,1.69,2.84,13.58,12.30,5.04,6.10,0.27,0.48,0.48,0.48,41.63,ADULT_CONTEMP:0.1797|TOP40:0.1358|CLASSIC_ROCK:0.1320|URBAN_CONTEMP:0.1106|NEWS_TALK:0.1098,ADULT_CONTEMP:4|TOP40:3|NEWS_TALK:1,ADULT_CONTEMP:4|TOP40:3|NEWS_TALK:1,37.50,3.89,,TOP40_CHR:0.0389|AC_HOT_AC:0.0651|ROCK_ALT_AAA:0.1774|COUNTRY:0.0174|NEWS_TALK_SPORTS:0.2598|PUBLIC_RADIO:0.1637|URBAN_RHYTHMIC:0.1472|SPANISH:0.0676|GOSPEL_CCM:0.0628,TOP40_CHR:0.1328|AC_HOT_AC:0.1759|ROCK_ALT_AAA:0.2740|COUNTRY:0.0597|NEWS_TALK_SPORTS:0.1291|PUBLIC_RADIO:0.0493|URBAN_RHYTHMIC:0.1240|SPANISH:0.0062|GOSPEL_CCM:0.0035|OTHER:0.0454,13.58,9.51,3.00,4.68,7.92,6.08,,
1985,newyork,2000,1,8,436.81,1.05,2.19,11.91,13.43,4.54,7.33,0.34,7.37,7.37,7.37,37.88,ADULT_CONTEMP:0.1565|URBAN_CONTEMP:0.1293|TOP40:0.1191|CLASSIC_ROCK:0.1125|NEWS_TALK:0.0868,TOP40:3|NEWS_TALK:2|ADULT_CONTEMP:2|SPANISH:1,TOP40:3|NEWS_TALK:2|ADULT_CONTEMP:2|SPANISH:1,37.50,4.83,,TOP40_CHR:0.0483|AC_HOT_AC:0.0667|ROCK_ALT_AAA:0.1750|COUNTRY:0.0172|NEWS_TALK_SPORTS:0.2563|PUBLIC_RADIO:0.1614|URBAN_RHYTHMIC:0.1452|SPANISH:0.0680|GOSPEL_CCM:0.0619,TOP40_CHR:0.1146|AC_HOT_AC:0.1505|ROCK_ALT_AAA:0.2239|COUNTRY:0.0704|NEWS_TALK_SPORTS:0.1439|PUBLIC_RADIO:0.0437|URBAN_RHYTHMIC:0.1435|SPANISH:0.0708|GOSPEL_CCM:0.0087|OTHER:0.0300,11.91,8.32,2.88,4.23,6.99,5.09,,
