genEra,marketId,year,period,nRuns,mean_hhi_x10000,mean_gap12,mean_gap15,mean_chr_lane_share,mean_spoken_word_share,mean_public_share,mean_country_share,mean_gospel_share,mean_spanish_share,mean_spanish_language_share,mean_spanish_share_legacy,mean_nBook,top5_mean_formats,num1_format_key_histogram,num1_format_raw_histogram,actual_top40_win_rate,expected_top40_weight,mismatch_top40,expected_top_buckets,actual_top_buckets,chr_bucket_total_share,expected_chr_bucket_strength,chr_lineage_station_count,chr_avg_share_per_station,chr_leader_share,expected_chr_leader_share_cap,mismatch_chr_bucket,mismatch_chr_concentration
1985,newyork,2006,1,8,481.95,3.26,5.78,11.27,25.17,4.43,5.84,0.45,7.18,7.18,7.18,37.75,NEWS_TALK:0.1596|URBAN_CONTEMP:0.1091|ADULT_CONTEMP:0.1078|TOP40:0.1025|CLASSIC_ROCK:0.0851,SPORTS_TALK:5|NEWS_TALK:3,SPORTS_TALK:5|NEWS_TALK:3,0.00,5.77,,TOP40_CHR:0.0577|AC_HOT_AC:0.0778|ROCK_ALT_AAA:0.1707|COUNTRY:0.0168|NEWS_TALK_SPORTS:0.2501|PUBLIC_RADIO:0.1575|URBAN_RHYTHMIC:0.1417|SPANISH:0.0672|GOSPEL_CCM:0.0604,TOP40_CHR:0.1126|AC_HOT_AC:0.1022|ROCK_ALT_AAA:0.1772|COUNTRY:0.0554|NEWS_TALK_SPORTS:0.2531|PUBLIC_RADIO:0.0420|URBAN_RHYTHMIC:0.1297|SPANISH:0.0777|GOSPEL_CCM:0.0085|OTHER:0.0415,11.27,7.09,3.25,3.52,4.88,4.02,,
1985,newyork,2010,1,8,520.74,4.55,7.94,10.23,25.26,4.76,7.76,0.49,7.81,7.81,7.81,36.63,NEWS_TALK:0.2032|URBAN_CONTEMP:0.1112|ADULT_CONTEMP:0.0992|TOP40:0.0930|CLASSIC_ROCK:0.0792,NEWS_TALK:7|SPORTS_TALK:1,NEWS_TALK:7|SPORTS_TALK:1,0.00,5.30,,TOP40_CHR:0.0530|AC_HOT_AC:0.0795|ROCK_ALT_AAA:0.1712|COUNTRY:0.0168|NEWS_TALK_SPORTS:0.2507|PUBLIC_RADIO:0.1580|URBAN_RHYTHMIC:0.1421|SPANISH:0.0680|GOSPEL_CCM:0.0606,TOP40_CHR:0.1113|AC_HOT_AC:0.1032|ROCK_ALT_AAA:0.1820|COUNTRY:0.0703|NEWS_TALK_SPORTS:0.2550|PUBLIC_RADIO:0.0431|URBAN_RHYTHMIC:0.1259|SPANISH:0.0707|GOSPEL_CCM:0.0117|OTHER:0.0267,10.23,6.13,2.88,3.70,5.36,3.27,,
1985,newyork,2020,1,8,475.54,1.89,4.76,9.01,20.48,6.64,6.04,0.39,12.19,12.19,12.19,38.50,NEWS_TALK:0.1314|SPANISH:0.1219|CLASSIC_ROCK:0.1118|URBAN_CONTEMP:0.1075|ADULT_CONTEMP:0.0933,NEWS_TALK:3|SPANISH:3|SPORTS_TALK:2,NEWS_TALK:3|SPANISH:3|SPORTS_TALK:2,0.00,2.57,,TOP40_CHR:0.0257|AC_HOT_AC:0.0880|ROCK_ALT_AAA:0.1747|COUNTRY:0.0172|NEWS_TALK_SPORTS:0.2558|PUBLIC_RADIO:0.1611|URBAN_RHYTHMIC:0.1449|SPANISH:0.0709|GOSPEL_CCM:0.0618,TOP40_CHR:0.0907|AC_HOT_AC:0.1095|ROCK_ALT_AAA:0.1861|COUNTRY:0.0553|NEWS_TALK_SPORTS:0.2046|PUBLIC_RADIO:0.0607|URBAN_RHYTHMIC:0.1355|SPANISH:0.1115|GOSPEL_CCM:0.0150|OTHER:0.0312,9.01,6.00,2.88,3.20,4.50,2.79,,
1985,newyork,2026,1,8,503.66,3.35,6.37,8.80,18.46,6.92,7.17,0.21,11.15,11.15,11.15,36.25,NEWS_TALK:0.1439|SPANISH:0.1275|ADULT_CONTEMP:0.1111|CLASSIC_ROCK:0.1050|URBAN_CONTEMP:0.0963,SPANISH:4|NEWS_TALK:4,SPANISH:4|NEWS_TALK:4,0.00,1.76,,TOP40_CHR:0.0176|AC_HOT_AC:0.0902|ROCK_ALT_AAA:0.1758|COUNTRY:0.0173|NEWS_TALK_SPORTS:0.2574|PUBLIC_RADIO:0.1622|URBAN_RHYTHMIC:0.1459|SPANISH:0.0714|GOSPEL_CCM:0.0622,TOP40_CHR:0.0802|AC_HOT_AC:0.1012|ROCK_ALT_AAA:0.2110|COUNTRY:0.0654|NEWS_TALK_SPORTS:0.1954|PUBLIC_RADIO:0.0631|URBAN_RHYTHMIC:0.1264|SPANISH:0.1161|GOSPEL_CCM:0.0140|OTHER:0.0273,8.80,6.00,2.75,3.20,5.01,2.70,,
1985,phoenix,1995,1,8,577.17,1.02,3.91,11.99,9.91,3.88,10.13,0.44,0.21,0.21,0.21,33.25,CLASSIC_ROCK:0.2393|ADULT_CONTEMP:0.1606|TOP40:0.1199|ALBUM_ROCK:0.1061|COUNTRY:0.1013,TOP40:3|CLASSIC_ROCK:3|COUNTRY:2,TOP40:3|CLASSIC_ROCK:3|COUNTRY:2,37.50,6.97,,TOP40_CHR:0.0697|AC_HOT_AC:0.0632|ROCK_ALT_AAA:0.1005|COUNTRY:0.1318|NEWS_TALK_SPORTS:0.1930|PUBLIC_RADIO:0.0512|URBAN_RHYTHMIC:0.0763|SPANISH:0.0847|GOSPEL_CCM:0.2296,TOP40_CHR:0.1151|AC_HOT_AC:0.1541|ROCK_ALT_AAA:0.3783|COUNTRY:0.0973|NEWS_TALK_SPORTS:0.1073|PUBLIC_RADIO:0.0372|URBAN_RHYTHMIC:0.0733|SPANISH:0.0033|GOSPEL_CCM:0.0057|OTHER:0.0284,11.99,12.14,2.50,5.38,9.97,7.76,,
1985,phoenix,2000,1,8,543.64,1.40,3.60,9.89,10.32,3.79,9.08,0.00,3.16,3.16,3.16,31.25,CLASSIC_ROCK:0.2604|ADULT_CONTEMP:0.1489|TOP40:0.0989|ALBUM_ROCK:0.0975|COUNTRY:0.0908,CLASSIC_ROCK:5|COUNTRY:2|NEWS_TALK:1,CLASSIC_ROCK:5|COUNTRY:2|NEWS_TALK:1,0.00,8.46,,TOP40_CHR:0.0846|AC_HOT_AC:0.0662|ROCK_ALT_AAA:0.0982|COUNTRY:0.1287|NEWS_TALK_SPORTS:0.1886|PUBLIC_RADIO:0.0500|URBAN_RHYTHMIC:0.0746|SPANISH:0.0848|GOSPEL_CCM:0.2243,TOP40_CHR:0.0949|AC_HOT_AC:0.1429|ROCK_ALT_AAA:0.3941|COUNTRY:0.0871|NEWS_TALK_SPORTS:0.1118|PUBLIC_RADIO:0.0364|URBAN_RHYTHMIC:0.0788|SPANISH:0.0303|GOSPEL_CCM:0.0000|OTHER:0.0237,9.89,10.62,2.50,4.05,8.02,6.50,,
1985,phoenix,2006,1,8,532.46,1.70,3.60,11.30,12.81,3.57,10.71,0.00,8.00,8.00,8.00,30.50,CLASSIC_ROCK:0.2229|ADULT_CONTEMP:0.1292|TOP40:0.1130|COUNTRY:0.1071|NEWS_TALK:0.0960,NEWS_TALK:4|SPANISH:2|COUNTRY:1|CLASSIC_ROCK:1,NEWS_TALK:4|SPANISH:2|COUNTRY:1|CLASSIC_ROCK:1,0.00,9.85,,TOP40_CHR:0.0985|AC_HOT_AC:0.0868|ROCK_ALT_AAA:0.0940|COUNTRY:0.1232|NEWS_TALK_SPORTS:0.1805|PUBLIC_RADIO:0.0478|URBAN_RHYTHMIC:0.0713|SPANISH:0.0833|GOSPEL_CCM:0.2146,TOP40_CHR:0.1082|AC_HOT_AC:0.1237|ROCK_ALT_AAA:0.3360|COUNTRY:0.1026|NEWS_TALK_SPORTS:0.1352|PUBLIC_RADIO:0.0341|URBAN_RHYTHMIC:0.0595|SPANISH:0.0766|GOSPEL_CCM:0.0000|OTHER:0.0240,11.30,9.06,2.38,5.19,7.87,5.13,,CONCENTRATION_MODERATE
1985,phoenix,2010,1,8,528.77,1.41,3.32,9.57,12.55,3.59,11.32,0.08,12.92,12.92,12.92,29.13,CLASSIC_ROCK:0.1971|SPANISH:0.1292|ADULT_CONTEMP:0.1216|COUNTRY:0.1132|TOP40:0.0957,SPANISH:4|CLASSIC_ROCK:2|TOP40:1|NEWS_TALK:1,SPANISH:4|CLASSIC_ROCK:2|TOP40:1|NEWS_TALK:1,12.50,9.53,,TOP40_CHR:0.0953|AC_HOT_AC:0.0877|ROCK_ALT_AAA:0.0941|COUNTRY:0.1233|NEWS_TALK_SPORTS:0.1807|PUBLIC_RADIO:0.0479|URBAN_RHYTHMIC:0.0714|SPANISH:0.0848|GOSPEL_CCM:0.2148,TOP40_CHR:0.0867|AC_HOT_AC:0.1102|ROCK_ALT_AAA:0.3009|COUNTRY:0.1025|NEWS_TALK_SPORTS:0.1311|PUBLIC_RADIO:0.0325|URBAN_RHYTHMIC:0.1013|SPANISH:0.1170|GOSPEL_CCM:0.0055|OTHER:0.0125,9.57,8.12,1.75,6.03,7.57,4.33,,CONCENTRATION_MODERATE
1985,phoenix,2020,1,8,502.16,2.41,4.55,10.08,7.86,3.96,7.53,0.00,12.55,12.55,12.55,31.00,CLASSIC_ROCK:0.2134|SPANISH:0.1255|ADULT_CONTEMP:0.1155|TOP40:0.1008|URBAN_CONTEMP:0.0859,SPANISH:5|CLASSIC_ROCK:3,SPANISH:5|CLASSIC_ROCK:3,0.00,6.64,,TOP40_CHR:0.0664|AC_HOT_AC:0.0937|ROCK_ALT_AAA:0.0964|COUNTRY:0.1262|NEWS_TALK_SPORTS:0.1849|PUBLIC_RADIO:0.0490|URBAN_RHYTHMIC:0.0731|SPANISH:0.0905|GOSPEL_CCM:0.2199,TOP40_CHR:0.0908|AC_HOT_AC:0.1040|ROCK_ALT_AAA:0.3153|COUNTRY:0.0678|NEWS_TALK_SPORTS:0.0863|PUBLIC_RADIO:0.0356|URBAN_RHYTHMIC:0.1247|SPANISH:0.1131|GOSPEL_CCM:0.0406|OTHER:0.0218,10.08,6.00,2.38,4.38,5.51,2.79,,CONCENTRATION_MODERATE
1985,phoenix,2026,1,8,502.86,1.98,4.48,9.14,9.38,3.88,13.85,0.00,7.86,7.86,7.86,28.25,CLASSIC_ROCK:0.2173|COUNTRY:0.1385|ADULT_CONTEMP:0.1239|URBAN_CONTEMP:0.0988|SPANISH:0.0898,CLASSIC_ROCK:6|TOP40:1|SPANISH:1,CLASSIC_ROCK:6|TOP40:1|SPANISH:1,12.50,5.32,,TOP40_CHR:0.0532|AC_HOT_AC:0.0959|ROCK_ALT_AAA:0.0976|COUNTRY:0.1278|NEWS_TALK_SPORTS:0.1873|PUBLIC_RADIO:0.0496|URBAN_RHYTHMIC:0.0740|SPANISH:0.0917|GOSPEL_CCM:0.2228,TOP40_CHR:0.0889|AC_HOT_AC:0.1068|ROCK_ALT_AAA:0.2966|COUNTRY:0.1193|NEWS_TALK_SPORTS:0.1067|PUBLIC_RADIO:0.0334|URBAN_RHYTHMIC:0.1165|SPANISH:0.0774|GOSPEL_CCM:0.0398|OTHER:0.0146,9.14,6.00,2.25,4.55,6.00,2.70,,CONCENTRATION_MODERATE
