genEra,marketId,year,period,nRuns,mean_hhi_x10000,mean_gap12,mean_gap15,mean_chr_total_share,mean_ac_hotac_share,mean_country_share,mean_news_talk_share,mean_nBook,top10_formats_by_mean_share,num1_format_key_histogram,num1_format_raw_histogram
1985,chicago,2006,1,20,487.86,0.0207,0.0386,0.1223,0.1224,0.0837,0.1704,39.95,CLASSIC_ROCK:0.1533|NEWS_TALK:0.1307|ADULT_CONTEMP:0.1205|TOP40:0.1125|URBAN_CONTEMP:0.1078|COUNTRY:0.0837|ALBUM_ROCK:0.0552|SPORTS_TALK:0.0335|SOUL_RNB:0.0333|ALT_ROCK:0.0245,NEWS_TALK:12|CLASSIC_ROCK:6|TOP40:2,NEWS_TALK:12|CLASSIC_ROCK:6|TOP40:2
1985,chicago,2010,1,20,967.81,0.0815,0.0989,0.1876,0.1556,0.0801,0.1631,39.85,HOT_AC:0.2104|TOP40:0.1322|CLASSIC_ROCK:0.1295|NEWS_TALK:0.1071|ADULT_CONTEMP:0.1029|URBAN_CONTEMP:0.1006|COUNTRY:0.0801|ALBUM_ROCK:0.0528|SPORTS_TALK:0.0440|SOUL_RNB:0.0318,NEWS_TALK:8|CLASSIC_ROCK:5|TOP40:4|SPORTS_TALK:2|HOT_AC:1,NEWS_TALK:8|CLASSIC_ROCK:5|TOP40:4|SPORTS_TALK:2|HOT_AC:1
1985,chicago,2020,1,20,485.17,0.0199,0.0379,0.1266,0.1177,0.1001,0.1481,37.05,CLASSIC_ROCK:0.1339|TOP40:0.1184|URBAN_CONTEMP:0.1173|ADULT_CONTEMP:0.1136|COUNTRY:0.1001|NEWS_TALK:0.0986|SPORTS_TALK:0.0455|SPANISH:0.0436|ALBUM_ROCK:0.0394|PUBLIC_NEWS:0.0324,NEWS_TALK:8|TOP40:5|CLASSIC_ROCK:3|COUNTRY:2|SPORTS_TALK:1|ADULT_CONTEMP:1,NEWS_TALK:8|TOP40:5|CLASSIC_ROCK:3|COUNTRY:2|SPORTS_TALK:1|ADULT_CONTEMP:1
1985,sanfrancisco,1995,1,20,671.22,0.0319,0.0537,0.2129,0.1512,0.1227,0.1041,31.80,TOP40:0.2129|ADULT_CONTEMP:0.1512|COUNTRY:0.1227|ALBUM_ROCK:0.1210|CLASSIC_ROCK:0.0883|NEWS_TALK:0.0879|URBAN_CONTEMP:0.0726|PUBLIC_NEWS:0.0371|ALT_ROCK:0.0187|PUBLIC_CLASSICAL:0.0136,TOP40:19|NEWS_TALK:1,TOP40:19|NEWS_TALK:1
1985,sanfrancisco,2000,1,20,655.21,0.0318,0.0547,0.2057,0.1479,0.1325,0.1296,28.40,TOP40:0.2057|ADULT_CONTEMP:0.1479|COUNTRY:0.1325|ALBUM_ROCK:0.1134|NEWS_TALK:0.0979|URBAN_CONTEMP:0.0834|CLASSIC_ROCK:0.0778|PUBLIC_NEWS:0.0322|ALL_NEWS:0.0257|SPORTS_TALK:0.0174,TOP40:17|NEWS_TALK:3,TOP40:17|NEWS_TALK:3
1985,sanfrancisco,2006,1,20,574.75,0.0316,0.0538,0.1892,0.1278,0.1168,0.1418,30.30,TOP40:0.1756|ADULT_CONTEMP:0.1212|COUNTRY:0.1168|NEWS_TALK:0.1039|ALBUM_ROCK:0.0938|URBAN_CONTEMP:0.0935|CLASSIC_ROCK:0.0838|PUBLIC_NEWS:0.0392|SOUL_RNB:0.0352|SPANISH:0.0329,TOP40:17|NEWS_TALK:3,TOP40:17|NEWS_TALK:3
1985,sanfrancisco,2010,1,20,574.03,0.0302,0.0547,0.1978,0.1362,0.1084,0.1222,29.50,TOP40:0.1809|ADULT_CONTEMP:0.1267|URBAN_CONTEMP:0.1126|COUNTRY:0.1084|NEWS_TALK:0.0932|CLASSIC_ROCK:0.0855|ALBUM_ROCK:0.0830|PUBLIC_NEWS:0.0429|RHYTHMIC:0.0368|SPANISH:0.0280,TOP40:14|NEWS_TALK:6,TOP40:14|NEWS_TALK:6
1985,sanfrancisco,2020,1,20,576.34,0.0453,0.0613,0.2167,0.1227,0.1240,0.1033,29.30,TOP40:0.1992|COUNTRY:0.1240|ADULT_CONTEMP:0.1160|URBAN_CONTEMP:0.0928|CLASSIC_ROCK:0.0855|ALBUM_ROCK:0.0838|NEWS_TALK:0.0798|PUBLIC_NEWS:0.0572|SOUL_RNB:0.0555|RHYTHMIC:0.0432,TOP40:20,TOP40:20
1985,seattle,1995,1,20,681.53,0.0254,0.0522,0.2036,0.1415,0.1497,0.1205,30.65,TOP40:0.2036|COUNTRY:0.1497|ADULT_CONTEMP:0.1415|ALBUM_ROCK:0.1128|NEWS_TALK:0.1001|URBAN_CONTEMP:0.0818|CLASSIC_ROCK:0.0768|PUBLIC_NEWS:0.0265|ALT_ROCK:0.0171|OLDIES:0.0145,TOP40:19|NEWS_TALK:1,TOP40:19|NEWS_TALK:1
1985,seattle,2000,1,20,663.31,0.0270,0.0533,0.2017,0.1459,0.1535,0.1164,28.20,TOP40:0.2017|COUNTRY:0.1535|ADULT_CONTEMP:0.1459|ALBUM_ROCK:0.1066|NEWS_TALK:0.0933|CLASSIC_ROCK:0.0848|URBAN_CONTEMP:0.0834|OLDIES:0.0304|PUBLIC_NEWS:0.0247|ALT_ROCK:0.0203,TOP40:18|NEWS_TALK:2,TOP40:18|NEWS_TALK:2
1985,seattle,2006,1,20,594.41,0.0215,0.0502,0.1904,0.1561,0.1330,0.1330,30.05,TOP40:0.1710|ADULT_CONTEMP:0.1484|COUNTRY:0.1330|ALBUM_ROCK:0.1001|NEWS_TALK:0.0954|CLASSIC_ROCK:0.0943|URBAN_CONTEMP:0.0938|ALT_ROCK:0.0311|RHYTHMIC:0.0291|PUBLIC_NEWS:0.0283,TOP40:15|NEWS_TALK:4|COUNTRY:1,TOP40:15|NEWS_TALK:4|COUNTRY:1
1985,seattle,2010,1,20,580.91,0.0324,0.0588,0.1947,0.1447,0.1376,0.1192,29.85,TOP40:0.1811|ADULT_CONTEMP:0.1409|COUNTRY:0.1376|NEWS_TALK:0.0940|CLASSIC_ROCK:0.0888|ALBUM_ROCK:0.0881|URBAN_CONTEMP:0.0872|SOUL_RNB:0.0538|RHYTHMIC:0.0392|PUBLIC_NEWS:0.0292,TOP40:17|NEWS_TALK:3,TOP40:17|NEWS_TALK:3
1985,seattle,2020,1,20,594.03,0.0491,0.0683,0.2143,0.1374,0.1479,0.1138,28.10,TOP40:0.2082|COUNTRY:0.1479|ADULT_CONTEMP:0.1351|URBAN_CONTEMP:0.0962|CLASSIC_ROCK:0.0906|NEWS_TALK:0.0812|ALBUM_ROCK:0.0754|SOUL_RNB:0.0460|HOT_AC:0.0460|PUBLIC_NEWS:0.0396,TOP40:20,TOP40:20
